source	target	type
C3	GPR55	physical-association
C3	GRM2	physical-association
C3	GRM3	physical-association
C3	GRM4	physical-association
C3	GRM6	physical-association
C3	GRM7	physical-association
C3	GRM8	physical-association
C3	HCAR1	physical-association
C3	HCAR2	physical-association
C3	HCAR3	physical-association
C3	HEBP1	association
C3	HRH3	physical-association
C3	HRH4	physical-association
C3	HTR1A	physical-association
C3	HTR1B	physical-association
C3	HTR1D	physical-association
C3	HTR1E	physical-association
C3	HTR1F	physical-association
C3	HTR5A	physical-association
C3	IFITM1	physical-association
C3	IL8	association
C3	INSL5	association
C3	KNG1	association
C3	LPAR1	physical-association
C3	LPAR2	physical-association
C3	LPAR3	physical-association
C3	LPAR5	physical-association
C3	MCHR1	physical-association
C3	MCHR2	physical-association
C3	MT-RNR2	association
C3	MTNR1A	physical-association
C3	MTNR1B	physical-association
C3	NMS	association
C3	NMU	association
C3	NMUR1	physical-association
C3	NMUR2	physical-association
C3	NPB	association
C3	NPBWR1	physical-association
C3	NPBWR2	physical-association
C3	NPW	association
C3	NPY	association
C3	NPY1R	physical-association
C3	NPY2R	physical-association
C3	NPY4R	physical-association
C3	NPY5R	physical-association
C3	OPRD1	physical-association
C3	OPRK1	physical-association
C3	OPRL1	physical-association
C3	OPRM1	physical-association
C3	OXER1	physical-association
C3	OXGR1	physical-association
C3	P2RY12	physical-association
C3	P2RY13	physical-association
C3	P2RY14	physical-association
C3	P2RY4	physical-association
C3	PDYN	association
C3	PENK	association
C3	PF4	association
C3	PIK3CG	association
C3	PIK3R5	association
C3	PIK3R6	association
C3	PLCB1	association
C3	PLCB2	association
C3	PLCB3	association
C3	PMCH	association
C3	PNOC	association
C3	POMC	association
C3	PPBP	association
C3	PPY	association
C3	PTGDR2	physical-association
C3	PTGER3	physical-association
C3	PYY	association
C3	RLN3	association
C3	RXFP3	physical-association
C3	RXFP4	physical-association
C3	S1PR1	physical-association
C3	S1PR2	physical-association
C3	S1PR3	physical-association
C3	S1PR4	physical-association
C3	S1PR5	physical-association
C3	SAA1	association
C3	SST	association
C3	SSTR1	physical-association
C3	SSTR2	physical-association
C3	SSTR3	physical-association
C3	SSTR4	physical-association
C3	SSTR5	physical-association
C3	SUCNR1	physical-association
C3	TAS2R1	physical-association
C3	TAS2R10	physical-association
C3	TAS2R13	physical-association
C3	TAS2R14	physical-association
C3	TAS2R16	physical-association
C3	TAS2R19	physical-association
C3	TAS2R20	physical-association
C3	TAS2R3	physical-association
C3	TAS2R30	physical-association
C3	TAS2R31	physical-association
C3	TAS2R38	physical-association
C3	TAS2R39	physical-association
C3	TAS2R4	physical-association
C3	TAS2R40	physical-association
C3	TAS2R41	physical-association
C3	TAS2R42	physical-association
C3	TAS2R43	physical-association
C3	TAS2R45	physical-association
C3	TAS2R46	physical-association
C3	TAS2R5	physical-association
C3	TAS2R50	physical-association
C3	TAS2R60	physical-association
C3	TAS2R7	physical-association
C3	TAS2R8	physical-association
C3	TAS2R9	physical-association
C3	cd21	physical-association
C3AR1	CCR3	association
C3AR1	CCR4	association
C3AR1	CCR5	association
C3AR1	CCR7	association
C3AR1	CCR8	association
C3AR1	IL8	physical-association
C3AR1	PIK3R5	association
C5	CCR3	physical-association
C5	CCR4	physical-association
C5	CCR5	physical-association
C5	CCR7	physical-association
C5	CCR8	physical-association
C5	IL8	association
C5	PIK3R5	association
C5AR1	CCR3	association
C5AR1	CCR4	association
C5AR1	CCR5	association
C5AR1	CCR7	association
C5AR1	CCR8	association
C5AR1	IL8	physical-association
C5AR1	PIK3R5	association
CA9	CREBBP	association
CA9	EPAS1	association
CABIN1	HMGA2	physical-association
CABIN1	RB1	association
CABIN1	TP53	association
CABLES1	CDK2	physical-association
CACNG2	CAMK2A	physical-association
CACNG2	DLG1	physical-association
CACNG2	GRIA3	physical-association
CACNG2	MDM2	physical-association
CACNG3	CAMK2A	physical-association
CACNG3	DLG1	physical-association
CACNG3	GRIA3	physical-association
CACNG3	MDM2	physical-association
CACNG4	CAMK2A	physical-association
CACNG4	DLG1	physical-association
CACNG4	GRIA3	physical-association
CACNG4	MDM2	physical-association
CACNG8	CAMK2A	physical-association
CACNG8	DLG1	physical-association
CACNG8	GRIA3	physical-association
CACNG8	MDM2	physical-association
CALCA	PIK3R5	association
CALCB	PIK3R5	association
CALCR	PIK3R5	association
CALCRL	PIK3R5	association
CALD1	PXN	physical-association
CALD1	TLN1	physical-association
CALD1	TPM1	physical-association
CALM1	CAMK2A	physical-association
CALM1	CREB1	physical-association
CALM1	DLG1	physical-association
CALM1	HRAS	physical-association
CALM1	HSP90AA1	physical-association
CALM1	NFATC1	physical-association
CALM1	PDPK1	association
CALM1	PLCG1	association
CALM1	PPP3CA	physical-association
CALM1	PRKCA	association
CALM1	PTEN	association
CALM1	PXN	association
CALM1	RAC1	association
CALM1	RALA	physical-association
CALM1	TLN1	association
CALM1	TPM1	association
CALML6	CAMK2A	association
CALR	CANX	physical-association
CALR	ERAP1	association
CALR	ERAP2	association
CALR	GANAB	physical-association
CALR	HLA-A	physical-association
CALR	HLA-B	physical-association
CALR	HLA-C	physical-association
CALR	HLA-E	physical-association
CALR	HLA-F	physical-association
CALR	HLA-G	physical-association
CALR	MLEC	association
CALR	MSR1	physical-association
CALR	PDIA3	physical-association
CALR	PPP3CA	association
CALR	PRKCSH	physical-association
CALR	SCARF1	physical-association
CALR	TAP1	physical-association
CALR	TAP2	physical-association
CALR	TAPBP	physical-association
CAMK2A	CAMK2D	physical-association
CAMK2A	CAMK2G	physical-association
CAMK2A	CREB1	physical-association
CAMK2A	DLG1	physical-association
CAMK2A	DLG4	physical-association
CAMK2A	EPB41L1	physical-association
CAMK2A	GRIA1	physical-association
CAMK2A	GRIA2	physical-association
CAMK2A	GRIA3	physical-association
CAMK2A	GRIA4	physical-association
CAMK2A	GRIN1	physical-association
CAMK2A	GRIN2A	physical-association
CAMK2A	GRIN2B	physical-association
CAMK2A	GRIN2C	physical-association
CAMK2A	GRIN2D	physical-association
CAMK2A	HRAS	physical-association
CAMK2A	HSF1	physical-association
CAMK2A	IFNG	physical-association
CAMK2A	IFNGR1	physical-association
CAMK2A	IFNGR2	physical-association
CAMK2A	JAK1	physical-association
CAMK2A	JAK2	physical-association
CAMK2A	MAP3K7	physical-association
CAMK2A	MAPK1	association
CAMK2A	MDM2	physical-association
CAMK2A	MYO6	physical-association
CAMK2A	NEFL	physical-association
CAMK2A	NLK	association
CAMK2A	RAF1	association
CAMK2A	RASGRF1	physical-association
CAMK2A	RASGRF2	physical-association
CAMK2A	RPS6KA1	association
CAMK2A	RPS6KA2	association
CAMK2A	RPS6KA3	association
CAMK2A	RPS6KA6	association
CAMK2A	RRAS	physical-association
CAMK2A	STAT1	physical-association
CAMK2B	CREB1	physical-association
CAMK2B	DLG1	physical-association
CAMK2B	GRIA3	physical-association
CAMK2B	HRAS	physical-association
CAMK2B	JAK1	physical-association
CAMK2B	MAPK1	association
CAMK2B	MDM2	physical-association
CAMK2B	RAF1	association
CAMK2B	STAT1	physical-association
CAMK2D	CREB1	physical-association
CAMK2D	DLG1	physical-association
CAMK2D	GRIA3	physical-association
CAMK2D	HRAS	physical-association
CAMK2D	JAK1	physical-association
CAMK2D	MAPK1	association
CAMK2D	MDM2	physical-association
CAMK2D	RAF1	association
CAMK2D	STAT1	physical-association
CAMK2G	CREB1	physical-association
CAMK2G	DLG1	physical-association
CAMK2G	GRIA3	physical-association
CAMK2G	HRAS	physical-association
CAMK2G	JAK1	physical-association
CAMK2G	MAPK1	association
CAMK2G	MDM2	physical-association
CAMK2G	RAF1	association
CAMK2G	STAT1	physical-association
CAMK4	CREB1	physical-association
CANX	CD74	physical-association
CANX	GANAB	physical-association
CANX	HLA-A	physical-association
CANX	HLA-B	physical-association
CANX	HLA-C	physical-association
CANX	HLA-DPA1	physical-association
CANX	HLA-DPB1	physical-association
CANX	HLA-DQA1	physical-association
CANX	HLA-DQA2	physical-association
CANX	HLA-DQB1	physical-association
CANX	HLA-DQB2	physical-association
CANX	HLA-DRA	physical-association
CANX	HLA-DRB1	physical-association
CANX	HLA-DRB3	physical-association
CANX	HLA-DRB4	physical-association
CANX	HLA-DRB5	physical-association
CANX	HLA-E	physical-association
CANX	HLA-F	physical-association
CANX	HLA-G	physical-association
CANX	MLEC	association
CANX	PDIA3	physical-association
CANX	PRKCSH	physical-association
CANX	SAR1B	association
CANX	SEC13	association
CANX	SEC23A	association
CANX	SEC24A	association
CANX	SEC24B	association
CANX	SEC24C	association
CANX	SEC24D	association
CANX	SEC31A	association
CANX	TAP1	association
CANX	TAP2	association
CANX	TAPBP	association
CAPN1	CDH1	physical-association
CAPNS1	CDH1	physical-association
CARD11	CHUK	physical-association
CARD11	IKBKB	physical-association
CARD11	IKBKG	physical-association
CARD11	NFKB1	association
CARD11	NFKBIA	association
CARD11	PDPK1	physical-association
CARD11	REL	association
CARM1	NCOR1	physical-association
CARM1	NFYB	association
CARM1	RXRA	physical-association
CARM1	SIN3A	physical-association
CARM1	SP1	association
CASC5	CCNB2	physical-association
CASC5	CDC20	physical-association
CASC5	CDCA5	physical-association
CASC5	CDK1	physical-association
CASC5	MAD1L1	physical-association
CASC5	MAD2L1	physical-association
CASC5	XPO1	physical-association
CASP1	NFKB1	association
CASP1	NFKB2	association
CASP10	CHUK	physical-association
CASP10	IKBKB	physical-association
CASP10	IKBKG	physical-association
CASP2	NGFR	physical-association
CASP2	YWHAE	association
CASP3	CASP7	association
CASP3	CASP9	physical-association
CASP3	CDH1	physical-association
CASP3	CTNNB1	physical-association
CASP3	CYCS	physical-association
CASP3	DAPK1	association
CASP3	DBNL	physical-association
CASP3	DCC	physical-association
CASP3	DFFA	physical-association
CASP3	DFFB	physical-association
CASP3	DIABLO	physical-association
CASP3	DSG1	physical-association
CASP3	DSG2	physical-association
CASP3	DSG3	physical-association
CASP3	FNTA	physical-association
CASP3	GAS2	physical-association
CASP3	GSN	physical-association
CASP3	KPNA1	association
CASP3	KPNB1	association
CASP3	LATS1	association
CASP3	LATS2	association
CASP3	MAPT	physical-association
CASP3	MIRLET7C	association
CASP3	MOB1A	association
CASP3	MOB1B	association
CASP3	MST4	physical-association
CASP3	NGF	physical-association
CASP3	NGFR	physical-association
CASP3	NGFRAP1	physical-association
CASP3	PAK2	physical-association
CASP3	PRKCD	physical-association
CASP3	PRKCQ	physical-association
CASP3	ROCK1	physical-association
CASP3	SAV1	physical-association
CASP3	SPTAN1	physical-association
CASP3	STK3	physical-association
CASP3	STK4	physical-association
CASP3	UNC5A	physical-association
CASP3	UNC5B	physical-association
CASP3	VIM	physical-association
CASP3	XIAP	physical-association
CASP3	YWHAE	association
CASP6	VIM	physical-association
CASP7	CASP9	physical-association
CASP7	CYCS	physical-association
CASP7	PTK2	physical-association
CASP7	VIM	physical-association
CASP7	XIAP	physical-association
CASP8	CD14	physical-association
CASP8	CHUK	physical-association
CASP8	IKBKB	physical-association
CASP8	IKBKG	physical-association
CASP8	TRADD	physical-association
CASP8	VIM	physical-association
CASP9	CDH1	association
CASP9	CLSPN	association
CASP9	CTNNB1	association
CASP9	CYCS	physical-association
CASP9	DBNL	association
CASP9	DCC	physical-association
CASP9	DIABLO	physical-association
CASP9	DSG1	association
CASP9	DSG2	association
CASP9	DSG3	association
CASP9	FNTA	association
CASP9	GAS2	association
CASP9	GSN	association
CASP9	MAPKAP1	association
CASP9	MAPT	association
CASP9	MLST8	association
CASP9	MST4	association
CASP9	MTOR	association
CASP9	PAK2	association
CASP9	PDPK1	association
CASP9	PTK2	association
CASP9	RICTOR	association
CASP9	SPTAN1	association
CASP9	VIM	association
CASP9	XIAP	physical-association
CASR	CCR3	association
CASR	CCR4	association
CASR	CCR5	association
CASR	CCR7	association
CASR	CCR8	association
CASR	IL8	physical-association
CASR	PIK3CA	association
CASR	PIK3R5	association
CAV1	GSK3B	physical-association
CAV1	HSP90AA1	physical-association
CAV1	PRKACA	association
CBL	CDC42	physical-association
CBL	CRK	physical-association
CBL	CSF2	association
CBL	EGF	physical-association
CBL	EGFR	physical-association
CBL	FGFR3	physical-association
CBL	GAB2	association
CBL	GRB2	physical-association
CBL	HSP90AA1	physical-association
CBL	IL2	association
CBL	IL2RA	association
CBL	IL2RB	association
CBL	IL3	association
CBL	IL6	physical-association
CBL	IL6ST	physical-association
CBL	JAK1	physical-association
CBL	JAK3	association
CBL	KIT	physical-association
CBL	LCK	physical-association
CBL	LYN	physical-association
CBL	PIK3CA	physical-association
CBL	PLCG1	physical-association
CBL	PTPN11	physical-association
CBL	RAPGEF1	physical-association
CBL	SHC1	physical-association
CBL	SOS1	physical-association
CBL	SPRY2	physical-association
CBL	SRC	physical-association
CBL	SYK	physical-association
CBL	TGFBR2	physical-association
CBLB	GRB2	physical-association
CBLB	PLCG1	physical-association
CBLB	SHC1	physical-association
CBLB	SOS1	physical-association
CBLB	SYK	physical-association
CBX2	MAPKAPK2	association
CBX3	GTF2H1	association
CBX4	MAPKAPK2	association
CBX6	MAPKAPK2	association
CBX8	MAPKAPK2	association
CBY1	CTNNB1	physical-association
CBY1	XPO1	physical-association
CCAR1	FUS	physical-association
CCAR1	HNRNPK	physical-association
CCAR2	SIRT1	physical-association
CCDC101	KAT2A	physical-association
CCDC101	SUPT3H	physical-association
CCDC101	TRRAP	physical-association
CCK	PIK3CA	association
CCK	PIK3R5	association
CCKAR	PIK3CA	association
CCKAR	PIK3R5	association
CCKBR	PIK3CA	association
CCKBR	PIK3R5	association
CCL16	CCR3	physical-association
CCL16	CCR4	physical-association
CCL16	CCR5	physical-association
CCL16	CCR7	physical-association
CCL16	CCR8	physical-association
CCL16	IL8	association
CCL16	PIK3R5	association
CCL19	CCR3	physical-association
CCL19	CCR4	physical-association
CCL19	CCR5	physical-association
CCL19	CCR7	physical-association
CCL19	CCR8	physical-association
CCL19	IL8	association
CCL19	PIK3R5	association
CCL20	CCR3	physical-association
CCL20	CCR4	physical-association
CCL20	CCR5	physical-association
CCL20	CCR7	physical-association
CCL20	CCR8	physical-association
CCL20	IL8	association
CCL20	PIK3R5	association
CCL21	CCR3	physical-association
CCL21	CCR4	physical-association
CCL21	CCR5	physical-association
CCL21	CCR7	physical-association
CCL21	CCR8	physical-association
CCL21	IL8	association
CCL21	PIK3R5	association
CCL23	CCR3	physical-association
CCL23	CCR4	physical-association
CCL23	CCR5	physical-association
CCL23	CCR7	physical-association
CCL23	CCR8	physical-association
CCL23	IL8	association
CCL23	PIK3CA	association
CCL23	PIK3R5	association
CCL25	CCR3	physical-association
CCL25	CCR4	physical-association
CCL25	CCR5	physical-association
CCL25	CCR7	physical-association
CCL25	CCR8	physical-association
CCL25	IL8	association
CCL25	PIK3R5	association
CCL27	CCR3	physical-association
CCL27	CCR4	physical-association
CCL27	CCR5	physical-association
CCL27	CCR7	physical-association
CCL27	CCR8	physical-association
CCL27	IL8	association
CCL27	PIK3R5	association
CCL28	CCR3	physical-association
CCL28	CCR4	physical-association
CCL28	CCR5	physical-association
CCL28	CCR7	physical-association
CCL28	CCR8	physical-association
CCL28	IL8	association
CCL28	PIK3R5	association
CCL5	CCR3	physical-association
CCL5	CCR4	physical-association
CCL5	CCR5	physical-association
CCL5	CCR7	physical-association
CCL5	CCR8	physical-association
CCL5	IL8	association
CCL5	PIK3R5	association
CCNA1	CCNE2	association
CCNA1	CDC7	association
CCNA1	CDK1	physical-association
CCNA1	CDK2	association
CCNA1	DBF4	association
CCNA1	E2F1	association
CCNA1	FZR1	association
CCNA1	MCM10	association
CCNA1	MCM2	association
CCNA1	MCM3	association
CCNA1	MCM4	association
CCNA1	MCM5	association
CCNA1	MCM6	association
CCNA1	MCM7	association
CCNA1	MCM8	association
CCNA1	ORC2	association
CCNA1	ORC3	association
CCNA1	ORC4	association
CCNA1	ORC5	association
CCNA1	ORC6	association
CCNA1	PML	association
CCNA1	POLA2	association
CCNA1	POLE	association
CCNA1	POLE2	association
CCNA1	PRIM1	association
CCNA1	PRIM2	association
CCNA1	RARA	association
CCNA1	TFDP1	association
CCNA2	CDC25A	association
CCNA2	CDC25B	association
CCNA2	CDC25C	association
CCNA2	CDK1	physical-association
CCNB1	CCNB2	association
CCNB1	CDC20	physical-association
CCNB1	CDC25A	physical-association
CCNB1	CDCA5	physical-association
CCNB1	CDK1	physical-association
CCNB1	CHEK1	association
CCNB1	HSP90AA1	association
CCNB1	MAD1L1	physical-association
CCNB1	MAD2L1	physical-association
CCNB1	PRKACA	association
CCNB1	PRKCA	association
CCNB1	PSMC1	association
CCNB1	XPO1	physical-association
CCNB1	YWHAE	association
CCNB2	CCP110	association
CCNB2	CDC20	physical-association
CCNB2	CDC25A	physical-association
CCNB2	CDC25B	physical-association
CCNB2	CDC25C	physical-association
CCNB2	CDCA5	physical-association
CCNB2	CDCA8	physical-association
CCNB2	CDK1	physical-association
CCNB2	CDK5RAP2	association
CCNB2	CENPA	physical-association
CCNB2	CENPC	physical-association
CCNB2	CENPE	physical-association
CCNB2	CENPF	physical-association
CCNB2	CENPH	physical-association
CCNB2	CENPI	physical-association
CCNB2	CENPJ	association
CCNB2	CENPK	physical-association
CCNB2	CENPL	physical-association
CCNB2	CENPM	physical-association
CCNB2	CENPN	physical-association
CCNB2	CENPO	physical-association
CCNB2	CENPP	physical-association
CCNB2	CENPQ	physical-association
CCNB2	CENPT	physical-association
CCNB2	CENPU	physical-association
CCNB2	CEP135	association
CCNB2	CEP152	association
CCNB2	CEP164	association
CCNB2	CEP192	association
CCNB2	CEP250	association
CCNB2	CEP290	association
CCNB2	CEP41	association
CCNB2	CEP57	association
CCNB2	CEP63	association
CCNB2	CEP70	association
CCNB2	CEP72	association
CCNB2	CEP76	association
CCNB2	CEP78	association
CCNB2	CETN2	association
CCNB2	CKAP5	physical-association
CCNB2	CLASP1	physical-association
CCNB2	CLASP2	physical-association
CCNB2	CLIP1	physical-association
CCNB2	CNTRL	association
CCNB2	CSNK1D	association
CCNB2	CSNK1E	association
CCNB2	DCTN1	association
CCNB2	DCTN2	association
CCNB2	DCTN3	association
CCNB2	DSN1	physical-association
CCNB2	DYNC1H1	association
CCNB2	DYNC1I2	association
CCNB2	DYNLL1	association
CCNB2	ERCC6L	physical-association
CCNB2	FGFR1OP	association
CCNB2	FOXM1	physical-association
CCNB2	GOLGA2	physical-association
CCNB2	GORASP1	physical-association
CCNB2	HAUS2	association
CCNB2	HSP90AA1	association
CCNB2	INCENP	physical-association
CCNB2	ITGB3BP	physical-association
CCNB2	KIF18A	physical-association
CCNB2	KIF2A	physical-association
CCNB2	KIF2B	physical-association
CCNB2	KIF2C	physical-association
CCNB2	KNTC1	physical-association
CCNB2	LIN37	association
CCNB2	LIN52	association
CCNB2	LIN54	association
CCNB2	LIN9	association
CCNB2	MAD1L1	physical-association
CCNB2	MAD2L1	physical-association
CCNB2	MAPRE1	physical-association
CCNB2	MIS12	physical-association
CCNB2	MYBL2	association
CCNB2	NCAPD2	physical-association
CCNB2	NCAPG	physical-association
CCNB2	NCAPH	physical-association
CCNB2	NDC80	physical-association
CCNB2	NDE1	physical-association
CCNB2	NDEL1	physical-association
CCNB2	NEDD1	association
CCNB2	NEK2	association
CCNB2	NEK9	physical-association
CCNB2	NINL	association
CCNB2	NSL1	physical-association
CCNB2	NUDC	physical-association
CCNB2	NUF2	physical-association
CCNB2	NUP107	physical-association
CCNB2	NUP133	physical-association
CCNB2	NUP153	physical-association
CCNB2	NUP155	physical-association
CCNB2	NUP160	physical-association
CCNB2	NUP188	physical-association
CCNB2	NUP205	physical-association
CCNB2	NUP210	physical-association
CCNB2	NUP214	physical-association
CCNB2	NUP35	physical-association
CCNB2	NUP37	physical-association
CCNB2	NUP43	physical-association
CCNB2	NUP50	physical-association
CCNB2	NUP54	physical-association
CCNB2	NUP62	physical-association
CCNB2	NUP85	physical-association
CCNB2	NUP88	physical-association
CCNB2	NUP93	physical-association
CCNB2	NUP98	physical-association
CCNB2	NUPL1	physical-association
CCNB2	NUPL2	physical-association
CCNB2	ODF2	association
CCNB2	OFD1	association
CCNB2	PAFAH1B1	physical-association
CCNB2	PCM1	association
CCNB2	PCNT	association
CCNB2	PDS5A	physical-association
CCNB2	PDS5B	physical-association
CCNB2	PKMYT1	physical-association
CCNB2	PLK1	physical-association
CCNB2	PLK4	association
CCNB2	PMF1	physical-association
CCNB2	POM121	physical-association
CCNB2	PPP1CC	physical-association
CCNB2	PPP2R1A	association
CCNB2	PPP2R2A	association
CCNB2	PRKACA	association
CCNB2	PRKAR2B	association
CCNB2	RAB1A	physical-association
CCNB2	RAD21	physical-association
CCNB2	RAE1	physical-association
CCNB2	RANBP2	physical-association
CCNB2	RANGAP1	physical-association
CCNB2	RBBP4	association
CCNB2	RCC2	physical-association
CCNB2	RPS27	physical-association
CCNB2	SDCCAG8	association
CCNB2	SEC13	physical-association
CCNB2	SEH1L	physical-association
CCNB2	SFI1	association
CCNB2	SGOL1	physical-association
CCNB2	SGOL2	physical-association
CCNB2	SKA1	physical-association
CCNB2	SKA2	physical-association
CCNB2	SMC1A	physical-association
CCNB2	SMC2	physical-association
CCNB2	SMC3	physical-association
CCNB2	SMC4	physical-association
CCNB2	SPC24	physical-association
CCNB2	SPC25	physical-association
CCNB2	SPDL1	physical-association
CCNB2	SSNA1	association
CCNB2	STAG1	physical-association
CCNB2	STAG2	physical-association
CCNB2	TAOK1	physical-association
CCNB2	TPR	physical-association
CCNB2	TUBA1A	association
CCNB2	TUBA4A	association
CCNB2	TUBB	association
CCNB2	TUBB4A	association
CCNB2	TUBB4B	association
CCNB2	TUBG1	association
CCNB2	USO1	physical-association
CCNB2	WAPAL	physical-association
CCNB2	XPO1	physical-association
CCNB2	YWHAE	association
CCNB2	YWHAG	association
CCNB2	ZW10	physical-association
CCNB2	ZWILCH	physical-association
CCNB2	ZWINT	physical-association
CCNC	CEBPA	association
CCNC	CREBBP	physical-association
CCNC	NCOR1	physical-association
CCNC	NOTCH1	physical-association
CCNC	PPARG	physical-association
CCNC	RBX1	association
CCNC	RXRA	physical-association
CCNC	SMAD2	physical-association
CCNC	SMAD3	physical-association
CCNC	SMAD4	physical-association
CCNC	SNW1	physical-association
CCND1	CCNH	physical-association
CCND1	CDC6	association
CCND1	CDK4	physical-association
CCND1	CDK6	association
CCND1	CDK7	physical-association
CCND1	CDKN1A	physical-association
CCND1	CDKN1B	physical-association
CCND1	CDKN2A	association
CCND1	CDKN2B	association
CCND1	CDKN2C	association
CCND1	CDKN2D	association
CCND1	CKS1B	association
CCND1	COPRS	physical-association
CCND1	CREBBP	physical-association
CCND1	CUL1	association
CCND1	DNMT3A	association
CCND1	E2F1	physical-association
CCND1	E2F2	physical-association
CCND1	E2F3	physical-association
CCND1	E2F4	physical-association
CCND1	E2F5	physical-association
CCND1	FOS	association
CCND1	HIST1H4A	association
CCND1	JUN	association
CCND1	JUP	association
CCND1	LEF1	association
CCND1	MAPK1	association
CCND1	MIR15A	association
CCND1	MNAT1	physical-association
CCND1	MYC	association
CCND1	NFKB1	association
CCND1	PRMT5	physical-association
CCND1	PSMA1	association
CCND1	PSMA2	association
CCND1	PSMA3	association
CCND1	PSMA4	association
CCND1	PSMA5	association
CCND1	PSMA6	association
CCND1	PSMA7	association
CCND1	PSMA8	association
CCND1	PSMB1	association
CCND1	PSMB10	association
CCND1	PSMB11	association
CCND1	PSMB2	association
CCND1	PSMB3	association
CCND1	PSMB4	association
CCND1	PSMB5	association
CCND1	PSMB6	association
CCND1	PSMB7	association
CCND1	PSMB8	association
CCND1	PSMB9	association
CCND1	PSMC1	association
CCND1	PSMC2	association
CCND1	PSMC3	association
CCND1	PSMC4	association
CCND1	PSMC5	association
CCND1	PSMC6	association
CCND1	PSMD1	association
CCND1	PSMD10	association
CCND1	PSMD11	association
CCND1	PSMD12	association
CCND1	PSMD13	association
CCND1	PSMD14	association
CCND1	PSMD2	association
CCND1	PSMD3	association
CCND1	PSMD4	association
CCND1	PSMD5	association
CCND1	PSMD6	association
CCND1	PSMD7	association
CCND1	PSMD8	association
CCND1	PSMD9	association
CCND1	PSME1	association
CCND1	PSME2	association
CCND1	PSME3	association
CCND1	PSME4	association
CCND1	PSMF1	association
CCND1	RASSF1	association
CCND1	RB1	physical-association
CCND1	RBL1	physical-association
CCND1	RBL2	physical-association
CCND1	RPS27A	physical-association
CCND1	SKP1	association
CCND1	SKP2	association
CCND1	SMARCA2	association
CCND1	SMARCA4	association
CCND1	SMARCB1	association
CCND1	SMARCC1	association
CCND1	SMARCC2	association
CCND1	TFDP1	physical-association
CCND1	TFDP2	physical-association
CCND1	UBA52	physical-association
CCND1	UBB	physical-association
CCND1	UBC	physical-association
CCND1	WDR77	physical-association
CCNE1	CCNE2	association
CCNE1	CCNH	physical-association
CCNE1	CDC25A	physical-association
CCNE1	CDC7	association
CCNE1	CDK2	physical-association
CCNE1	CDK7	physical-association
CCNE1	CDKN1A	association
CCNE1	CDKN1B	association
CCNE1	CKS1B	association
CCNE1	CUL1	association
CCNE1	DBF4	association
CCNE1	E2F1	association
CCNE1	FZR1	association
CCNE1	MCM10	association
CCNE1	MCM2	association
CCNE1	MCM3	association
CCNE1	MCM4	association
CCNE1	MCM5	association
CCNE1	MCM6	association
CCNE1	MCM7	association
CCNE1	MCM8	association
CCNE1	MIR15A	association
CCNE1	MNAT1	physical-association
CCNE1	ORC2	association
CCNE1	ORC3	association
CCNE1	ORC4	association
CCNE1	ORC5	association
CCNE1	ORC6	association
CCNE1	PKMYT1	physical-association
CCNE1	POLA2	association
CCNE1	POLE	association
CCNE1	POLE2	association
CCNE1	PRIM1	association
CCNE1	PRIM2	association
CCNE1	PSMA1	association
CCNE1	PSMA2	association
CCNE1	PSMA3	association
CCNE1	PSMA4	association
CCNE1	PSMA5	association
CCNE1	PSMA6	association
CCNE1	PSMA7	association
CCNE1	PSMB1	association
CCNE1	PSMB10	association
CCNE1	PSMB2	association
CCNE1	PSMB3	association
CCNE1	PSMB4	association
CCNE1	PSMB5	association
CCNE1	PSMB6	association
CCNE1	PSMB7	association
CCNE1	PSMB8	association
CCNE1	PSMB9	association
CCNE1	PSMC1	association
CCNE1	PSMC2	association
CCNE1	PSMC3	association
CCNE1	PSMC4	association
CCNE1	PSMC5	association
CCNE1	PSMC6	association
CCNE1	PSMD1	association
CCNE1	PSMD10	association
CCNE1	PSMD11	association
CCNE1	PSMD12	association
CCNE1	PSMD13	association
CCNE1	PSMD14	association
CCNE1	PSMD2	association
CCNE1	PSMD3	association
CCNE1	PSMD4	association
CCNE1	PSMD5	association
CCNE1	PSMD6	association
CCNE1	PSMD7	association
CCNE1	PSMD8	association
CCNE1	PSMD9	association
CCNE1	PSME1	association
CCNE1	PSME2	association
CCNE1	PSME3	association
CCNE1	PSMF1	association
CCNE1	RB1	physical-association
CCNE1	RPS27A	association
CCNE1	SKP1	association
CCNE1	SKP2	association
CCNE1	TFDP1	association
CCNE1	UBA52	association
CCNE1	UBB	association
CCNE1	UBC	association
CCNE1	WEE1	physical-association
CCNE2	CDC25A	physical-association
CCNE2	CDK1	association
CCNE2	CDK2	physical-association
CCNE2	CDKN1A	association
CCNE2	CDKN1B	association
CCNE2	CKS1B	association
CCNE2	PCNA	association
CCNE2	PSMC1	association
CCNE2	RB1	physical-association
CCNE2	SKP2	association
CCNG1	MIR122	association
CCNH	CDC25A	association
CCNH	CDK1	physical-association
CCNH	CDK2	physical-association
CCNH	CDK4	physical-association
CCNH	CDK9	physical-association
CCNH	CDKN1A	physical-association
CCNH	CDKN1B	physical-association
CCNH	CKS1B	association
CCNH	DDB1	physical-association
CCNH	E2F1	association
CCNH	E2F2	association
CCNH	E2F3	association
CCNH	GTF2B	physical-association
CCNH	GTF2E1	physical-association
CCNH	GTF2H1	physical-association
CCNH	PCNA	association
CCNH	POLD3	association
